SEARCHVAL,coordinates,Nearest School,Neareset School Coordinates,Nearest School Distance,Raffles MRT Coords,Time To City,Nearest Malls,Nearest Mall Distance,Nearest MRT,Nearest MRT Distance,Original Nameds
BEACH ROAD GARDENS,"1.3036713506088,103.864478660925",STAMFORD PRIMARY SCHOOL,"1.30345638467449,103.857453500579",1160,"1.28393326234538,103.851463066212",12.46666667,CITY GATE MALL,407,NICOLL HIGHWAY MRT STATION (CC5),611,1 BEACH RD
1 BEDOK SOUTH AVENUE 1 SINGAPORE 460001,"1.32085208689731,103.933721091441",BEDOK GREEN PRIMARY SCHOOL,"1.32344593287992,103.937878976352",798,"1.28393326234538,103.851463066212",30.71666667,BEDOK MALL,899,TANAH MERAH MRT STATION (EW4),1953,1 BEDOK STH AVE 1
PING YI GARDENS,"1.32796879176302,103.922716018139",DAMAI PRIMARY SCHOOL,"1.33546106800406,103.921270169613",1226,"1.28393326234538,103.851463066212",25.81666667,DJITSUN MALL BEDOK,898,BEDOK NORTH MRT STATION (DT29),1465,1 CHAI CHEE RD
1 CHANGI VILLAGE ROAD SINGAPORE 500001,"1.38854656229022,103.987804503483",PASIR RIS PRIMARY SCHOOL,"1.37241870245531,103.962807212116",4624,"1.28393326234538,103.851463066212",59.18333333,JEWEL CHANGI AIRPORT,898,CHANGI AIRPORT MRT STATION (CG2),1465,1 CHANGI VILLAGE RD
1 DELTA AVENUE SINGAPORE 160001,"1.2920752508431,103.828584077626",ALEXANDRA PRIMARY SCHOOL,"1.29133439161334,103.824424680531",792,"1.28393326234538,103.851463066212",18.83333333,GREAT WORLD CITY,1118,TIONG BAHRU MRT STATION (EW17),1125,1 DELTA AVE
DOVER COMMUNITY CENTRE,"1.3025299473495,103.783271662459",FAIRFIELD METHODIST SCHOOL (PRIMARY),"1.30054082453424,103.785438270044",574,"1.28393326234538,103.851463066212",20.08333333,ROCHESTER MALL,1114,ONE-NORTH MRT STATION (CC23),1092,1 DOVER RD
EVERTON PARK,"1.27742654288695,103.840001188095",CANTONMENT PRIMARY SCHOOL,"1.27547252623201,103.839962631748",500,"1.28393326234538,103.851463066212",8.433333333,100 AM,764,OUTRAM PARK MRT STATION,396,1 EVERTON PK
GHIM MOH GREEN,"1.31287975684307,103.786855017635",HENRY PARK PRIMARY SCHOOL,"1.31667646178347,103.784296227747",1045,"1.28393326234538,103.851463066212",22.96666667,THE STAR VISTA,1211,BUONA VISTA MRT STATION (EW21),1082,1 GHIM MOH RD
HAIG VIEW,"1.31129091152627,103.897703432652",HAIG GIRLS' SCHOOL,"1.31194344271383,103.902902557195",758,"1.28393326234538,103.851463066212",24.7,KINEX,765,PAYA LEBAR MRT STATION (CC9),1136,1 HAIG RD
1 HOUGANG AVENUE 3 SINGAPORE 530001,"1.36413097349222,103.89300132385",HOLY INNOCENTS' PRIMARY SCHOOL,"1.36693830877349,103.894114899795",459,"1.28393326234538,103.851463066212",28.7,HOUGANG RIVERCOURT,495,HOUGANG MRT STATION (NE14),1209,1 HOUGANG AVE 3
DBS NTUC JALAN BUKIT MERAH/1,"1.28647148628638,103.808275089948",GAN ENG SENG PRIMARY SCHOOL,"1.28559516494962,103.815547410064",973,"1.28393326234538,103.851463066212",22.91666667,ALEXANDRA CENTRAL,405,QUEENSTOWN MRT STATION (EW19),1497,1 JLN BT MERAH
DI TANJONG RHU,"1.30355769675629,103.883796413118",KONG HWA SCHOOL,"1.31099674009193,103.888352029067",1487,"1.28393326234538,103.851463066212",16.96666667,LEISURE PARK KALLANG,1748,MOUNTBATTEN MRT STATION (CC7),515,1 KG KAYU RD
KIM KEAT COURT,"1.33943033543358,103.853442790992",FIRST TOA PAYOH PRIMARY SCHOOL,"1.34032299499938,103.855529906182",316,"1.28393326234538,103.851463066212",20.98333333,HDB HUB,1455,BRADDELL MRT STATION (NS18),936,1 LOR 7 TOA PAYOH
1 LORONG LEW LIAN SINGAPORE 531001,"1.35086712646948,103.875343939672",YANGZHENG PRIMARY SCHOOL,"1.34864575840923,103.868595527042",1132,"1.28393326234538,103.851463066212",21.65,NEX,506,SERANGOON MRT STATION (CC13),421,1 LOR LEW LIAN
MARINE TERRACE WALK,"1.30482902187779,103.918614976369",NGEE ANN PRIMARY SCHOOL,"1.30552505910497,103.917463017497",314,"1.28393326234538,103.851463066212",36.41666667,UOB I12 KATONG AUTOLOBBY,1788,KEMBANGAN MRT STATION (EW6),2223,1 MARINE TER
SIAN CHAY MEDICAL INSTITUTION MARSILING BRANCH,"1.44067942258288,103.776119757434",MARSILING PRIMARY SCHOOL,"1.43383904037059,103.773643013846",1307,"1.28393326234538,103.851463066212",56.15,MARSILING MALL HAWKER CENTRE,1819,MARSILING MRT STATION (NS8),1448,1 MARSILING DR
1 PINE CLOSE SINGAPORE 390001,"1.30787056219408,103.883192164927",KONG HWA SCHOOL,"1.31099674009193,103.888352029067",947,"1.28393326234538,103.851463066212",18.5,LEISURE PARK KALLANG,1731,MOUNTBATTEN MRT STATION (CC7),273,1 PINE CL
FARRER GARDENS,"1.31726629524359,103.806782877524",NANYANG PRIMARY SCHOOL,"1.32111548993736,103.806468059795",1060,"1.28393326234538,103.851463066212",20.46666667,HOLLAND VILLAGE SHOPPING MALL,2089,FARRER ROAD MRT STATION (CC20),91,1 QUEEN'S RD
1 SAINT GEORGE'S ROAD SINGAPORE 320001,"1.32340263694069,103.86163080083",BENDEMEER PRIMARY SCHOOL,"1.32181250780475,103.865404167629",679,"1.28393326234538,103.851463066212",18.8,THE POIZ CENTRE,1804,BOON KENG MRT STATION (NE9),625,1 ST. GEORGE'S RD
TECK WHYE HEIGHTS I,"1.38253882861956,103.751710905678",TECK WHYE PRIMARY SCHOOL,"1.38364996834457,103.753291857016",350,"1.28393326234538,103.851463066212",44.63333333,TECK WHYE SHOPPING CENTRE,635,CHOA CHU KANG MRT STATION (NS4),1095,1 TECK WHYE AVE
MOUNT FABER GREEN,"1.27945660077329,103.817897561986",GAN ENG SENG PRIMARY SCHOOL,"1.28559516494962,103.815547410064",1061,"1.28393326234538,103.851463066212",16.55,TIONG BAHRU PLAZA,1732,REDHILL MRT STATION (EW18),1510,1 TELOK BLANGAH CRES
DBS NTUC TANJONG PAGAR,"1.2762380807801,103.84300565307",CANTONMENT PRIMARY SCHOOL,"1.27547252623201,103.839962631748",766,"1.28393326234538,103.851463066212",10.76666667,100 AM,387,TANJONG PAGAR MRT STATION (EW15),601,1 TG PAGAR PLAZA
BUKIT TIMAH NEIGHBOURHOOD POLICE POST,"1.33958155877064,103.774586318946",PEI HWA PRESBYTERIAN PRIMARY SCHOOL,"1.33805634613048,103.776106448614",410,"1.28393326234538,103.851463066212",27.28333333,BEAUTY WORLD PLAZA,563,BEAUTY WORLD MRT STATION (DT5),391,1 TOH YI DR
10 CHAI CHEE ROAD SINGAPORE 467010,"1.32727572366021,103.924803599281",FENGSHAN PRIMARY SCHOOL,"1.32980598760785,103.931710293058",961,"1.28393326234538,103.851463066212",29.16666667,DJITSUN MALL BEDOK,577,BEDOK NORTH MRT STATION (DT29),1601,10 CHAI CHEE RD
10 EUNOS CRESCENT SINGAPORE 400010,"1.32228655863065,103.902720513959",EUNOS PRIMARY SCHOOL,"1.32447629876368,103.904541254016",453,"1.28393326234538,103.851463066212",19.83333333,SINGAPORE POST CENTRE,1462,EUNOS MRT STATION (EW7),439,10 EUNOS CRES
GLOUCESTER MANSIONS,"1.31369315585356,103.840387458086",ANGLO-CHINESE SCHOOL (JUNIOR),"1.30935041274966,103.840950265464",789,"1.28393326234538,103.851463066212",16.4,UNITED SQUARE,698,NEWTON MRT STATION (NS21),557,10 GLOUCESTER RD
HAIG VIEW,"1.31483950176268,103.895865169739",HAIG GIRLS' SCHOOL,"1.31194344271383,103.902902557195",1086,"1.28393326234538,103.851463066212",20.8,KINEX,383,PAYA LEBAR MRT STATION (CC9),684,10 HAIG RD
HOLLAND VISTA,"1.30814997104791,103.794275184926",NEW TOWN PRIMARY SCHOOL,"1.29964188181021,103.80010216304",1424,"1.28393326234538,103.851463066212",18.18333333,HOLLAND VILLAGE SHOPPING MALL,445,BUONA VISTA MRT STATION (EW21),641,10 HOLLAND AVE
DI TANJONG RHU,"1.30204488252463,103.882887148325",KONG HWA SCHOOL,"1.31099674009193,103.888352029067",1766,"1.28393326234538,103.851463066212",20.21666667,LEISURE PARK KALLANG,2027,MOUNTBATTEN MRT STATION (CC7),793,10 JLN BATU
BUKIT HO SWEE VIEW,"1.28745837020188,103.832675765986",RIVER VALLEY PRIMARY SCHOOL,"1.2942232846169,103.835815165829",1922,"1.28393326234538,103.851463066212",16.63333333,TIONG BAHRU PLAZA,854,TIONG BAHRU MRT STATION (EW17),771,10 JLN BT HO SWEE
CHIN SWEE VIEW,"1.2869738344398,103.839075823483",RIVER VALLEY PRIMARY SCHOOL,"1.2942232846169,103.835815165829",1675,"1.28393326234538,103.851463066212",15.7,PEOPLE'S PARK COMPLEX,843,CHINATOWN MRT STATION (DT19),966,10 JLN KUKOH
RUMAH TINGGI VIEW,"1.28820018880462,103.808369387433",QUEENSTOWN PRIMARY SCHOOL,"1.29559365009015,103.807548617332",1794,"1.28393326234538,103.851463066212",22.33333333,ANCHORPOINT SHOPPING CENTRE,856,QUEENSTOWN MRT STATION (EW19),1382,10 JLN RUMAH TINGGI
10 JOO SENG ROAD SINGAPORE 360010,"1.33461833377097,103.88016502252",CEDAR PRIMARY SCHOOL,"1.3355885014312,103.87562104944",663,"1.28393326234538,103.851463066212",25.41666667,THE POIZ CENTRE,1727,BARTLEY MRT STATION (CC12),1624,10 JOO SENG RD
TOA PAYOH COURT,"1.33716527577081,103.857228807914",PEI CHUN PUBLIC SCHOOL,"1.33737358725951,103.855585578061",328,"1.28393326234538,103.851463066212",25.76666667,HDB HUB,1634,TOA PAYOH MRT STATION (NS19),1734,10 LOR 7 TOA PAYOH
MARSILING GARDENS,"1.44080567418718,103.777318569996",MARSILING PRIMARY SCHOOL,"1.43383904037059,103.773643013846",1565,"1.28393326234538,103.851463066212",53.85,MARSILING MALL HAWKER CENTRE,1604,MARSILING MRT STATION (NS8),1706,10 MARSILING DR
10 PINE CLOSE SINGAPORE 391010,"1.30915239429834,103.882242524292",KONG HWA SCHOOL,"1.31099674009193,103.888352029067",894,"1.28393326234538,103.851463066212",18,LEISURE PARK KALLANG,1949,MOUNTBATTEN MRT STATION (CC7),516,10 PINE CL
SELEGIE HOUSE,"1.30370879401395,103.850537238747",SAINT MARGARET'S PRIMARY SCHOOL (U/C),"1.30375892693678,103.846192524384",778,"1.28393326234538,103.851463066212",11.3,ZHUJIAO CENTRE (TEKKA MARKET),484,ROCHOR MRT STATION (DT13),307,10 SELEGIE RD
SAINT GEORGE'S EAST GARDENS,"1.32374648815059,103.863412150847",BENDEMEER PRIMARY SCHOOL,"1.32181250780475,103.865404167629",673,"1.28393326234538,103.851463066212",18.4,THE POIZ CENTRE,1615,BOON KENG MRT STATION (NE9),647,10 ST. GEORGE'S RD
TECK WHYE HEIGHTS II,"1.38047055057828,103.755211075265",TECK WHYE PRIMARY SCHOOL,"1.38364996834457,103.753291857016",600,"1.28393326234538,103.851463066212",42.48333333,TECK WHYE SHOPPING CENTRE,416,BUKIT PANJANG MRT STATION (DT1),1019,10 TECK WHYE AVE
10 TELOK BLANGAH CRESCENT SINGAPORE 090010,"1.27773153190559,103.819769431353",RADIN MAS PRIMARY SCHOOL,"1.27495823622634,103.824188270373",943,"1.28393326234538,103.851463066212",21.5,TIONG BAHRU PLAZA,1794,TIONG BAHRU MRT STATION (EW17),1780,10 TELOK BLANGAH CRES
TOH YI GARDENS,"1.33753956576433,103.773161066389",PEI HWA PRESBYTERIAN PRIMARY SCHOOL,"1.33805634613048,103.776106448614",397,"1.28393326234538,103.851463066212",30.65,BEAUTY WORLD PLAZA,892,BEAUTY WORLD MRT STATION (DT5),721,10 TOH YI DR
PEARL GARDEN,"1.3343559340081,103.939032711241",SAINT ANTHONY'S CANOSSIAN PRIMARY SCHOOL,"1.3347253730189,103.941234868202",375,"1.28393326234538,103.851463066212",31.38333333,DJITSUN MALL BEDOK,1794,BEDOK RESERVOIR MRT STATION (DT30),1016,100 BEDOK NTH AVE 4
CRESCENT VIEW,"1.30770527644458,103.801272476263",NEW TOWN PRIMARY SCHOOL,"1.29964188181021,103.80010216304",1085,"1.28393326234538,103.851463066212",22.38333333,HOLLAND VILLAGE SHOPPING MALL,1048,COMMONWEALTH MRT STATION (EW20),906,100 C'WEALTH CRES
TOA PAYOH PALM SPRING,"1.33956400517882,103.848585713817",KHENG CHENG SCHOOL,"1.3373381935639,103.847148501824",303,"1.28393326234538,103.851463066212",20.58333333,HDB HUB,1295,BRADDELL MRT STATION (NS18),376,100 LOR 1 TOA PAYOH
WHAMPOA VIEW,"1.32077947735201,103.854348739922",HONG WEN SCHOOL,"1.32175999964553,103.857628468881",635,"1.28393326234538,103.851463066212",21.11666667,CITY SQUARE MALL,1411,BOON KENG MRT STATION (NE9),1118,100 WHAMPOA DR
AH HOOD GARDENS,"1.32739678972464,103.84448102202",CHIJ PRIMARY (TOA PAYOH),"1.33275264711587,103.841847263786",1480,"1.28393326234538,103.851463066212",19.08333333,ZHONGSHAN MALL,326,TOA PAYOH MRT STATION (NS19),1071,101 AH HOOD RD
101 ALJUNIED CRESCENT SINGAPORE 380101,"1.32092275330579,103.883351967045",GEYLANG METHODIST SCHOOL (PRIMARY),"1.31759126757284,103.883845744916",416,"1.28393326234538,103.851463066212",15.11666667,PAYA LEBAR SQUARE,1475,ALJUNIED MRT STATION (EW9),793,101 ALJUNIED CRES
KEBUN BARU HEIGHTS,"1.37026158388486,103.839467898898",ANG MO KIO PRIMARY SCHOOL,"1.36932176584608,103.839630858752",196,"1.28393326234538,103.851463066212",26.76666667,BROADWAY PLAZA,993,ANG MO KIO MRT STATION (NS16),1303,101 ANG MO KIO AVE 3
PEARL GARDEN,"1.334484667124,103.937924710969",SAINT ANTHONY'S CANOSSIAN PRIMARY SCHOOL,"1.3347253730189,103.941234868202",533,"1.28393326234538,103.851463066212",31.71666667,DJITSUN MALL BEDOK,1711,BEDOK RESERVOIR MRT STATION (DT30),867,101 BEDOK NTH AVE 4
EUNOS VISTA,"1.32844913301985,103.909937396599",TELOK KURAU PRIMARY SCHOOL,"1.33104585441349,103.910934011337",592,"1.28393326234538,103.851463066212",32.9,SINGAPORE POST CENTRE,3055,KAKI BUKIT MRT STATION (DT28),1002,101 BEDOK RESERVOIR RD
BISHAN VIEW,"1.34485915828152,103.848400765185",GUANGYANG PRIMARY SCHOOL,"1.34569011530238,103.849453239895",843,"1.28393326234538,103.851463066212",29.45,JUNCTION 8,917,BRADDELL MRT STATION (NS18),2271,101 BISHAN ST 12
101 BUKIT BATOK WEST AVENUE 6 SINGAPORE 650101,"1.34670636093149,103.746920663038",PRINCESS ELIZABETH PRIMARY SCHOOL,"1.349203512653,103.74101964471",919,"1.28393326234538,103.851463066212",35.51666667,WEST MALL,677,BUKIT BATOK MRT STATION (NS2),465,101 BT BATOK WEST AVE 6
BUKIT PURMEI VILLE,"1.27146256556443,103.825683545567",RADIN MAS PRIMARY SCHOOL,"1.27495823622634,103.824188270373",608,"1.28393326234538,103.851463066212",20.21666667,VIVOCITY,1304,HARBOURFRONT MRT STATION (NE1 / CC29),1182,101 BT PURMEI RD
CRESCENT VIEW,"1.30805159231327,103.800842814413",NEW TOWN PRIMARY SCHOOL,"1.29964188181021,103.80010216304",1146,"1.28393326234538,103.851463066212",23.21666667,HOLLAND VILLAGE SHOPPING MALL,986,HOLLAND VILLAGE MRT STATION (CC21),1061,101 C'WEALTH CRES
SUNSET WAY RESIDENCE,"1.32208936757694,103.76893341249",PEI TONG PRIMARY SCHOOL,"1.31619786415976,103.767599818844",1550,"1.28393326234538,103.851463066212",31.13333333,THE CLEMENTI MALL,1832,CLEMENTI MRT STATION (EW23),1758,101 CLEMENTI ST 14
101 GANGSA ROAD SINGAPORE 670101,"1.37916431633637,103.767439286222",ZHENGHUA PRIMARY SCHOOL,"1.37954887512229,103.769313521752",419,"1.28393326234538,103.851463066212",36.91666667,BUKIT PANJANG PLAZA,620,BUKIT PANJANG MRT STATION (DT1),919,101 GANGSA RD
101 HENDERSON CRESCENT SINGAPORE 150101,"1.29071799751539,103.821625207737",ALEXANDRA PRIMARY SCHOOL,"1.29133439161334,103.824424680531",403,"1.28393326234538,103.851463066212",13.61666667,TIONG BAHRU PLAZA,1016,REDHILL MRT STATION (EW18),818,101 HENDERSON CRES
101 HOUGANG AVENUE 1 SINGAPORE 530101,"1.35493747800562,103.891360573947",XINGHUA PRIMARY SCHOOL,"1.35790893589535,103.890472887906",595,"1.28393326234538,103.851463066212",36.46666667,HEARTLAND MALL-KOVAN,1110,KOVAN MRT STATION (NE13),1245,101 HOUGANG AVE 1
RAJAH COURT,"1.32880086167984,103.850782023537",KHENG CHENG SCHOOL,"1.3373381935639,103.847148501824",1657,"1.28393326234538,103.851463066212",25.3,HDB HUB,824,TOA PAYOH MRT STATION (NS19),828,101 JLN RAJAH
JURONG EAST VILLE,"1.33701100762294,103.738787314099",FUHUA PRIMARY SCHOOL,"1.33650394789627,103.736103745748",301,"1.28393326234538,103.851463066212",33.18333333,JCUBE,647,JURONG EAST MRT STATION (EW24 / NS1),780,101 JURONG EAST ST 13
KEMBANGAN GARDENS,"1.32515983382087,103.910888819332",TELOK KURAU PRIMARY SCHOOL,"1.33104585441349,103.910934011337",1214,"1.28393326234538,103.851463066212",23.55,SINGAPORE POST CENTRE,2599,KEMBANGAN MRT STATION (EW6),586,101 LENGKONG TIGA
101 PASIR RIS STREET 12 SINGAPORE 510101,"1.36705021516612,103.958181857039",WHITE SANDS PRIMARY SCHOOL,"1.36555714668553,103.960918869319",560,"1.28393326234538,103.851463066212",45.41666667,LOYANG POINT,1054,PASIR RIS MRT STATION (EW1),1525,101 PASIR RIS ST 12
101 POTONG PASIR AVENUE 1 SINGAPORE 350101,"1.33315710123237,103.868380398922",SAINT ANDREW'S JUNIOR SCHOOL,"1.33140255308868,103.865117134385",505,"1.28393326234538,103.851463066212",17.21666667,THE POIZ CENTRE,256,POTONG PASIR MRT STATION (NE10),288,101 POTONG PASIR AVE 1
RIVERVALE COURT,"1.38276428975734,103.899272029115",NORTH VISTA PRIMARY SCHOOL,"1.38282243016299,103.895961877928",762,"1.28393326234538,103.851463066212",35.23333333,RIVERVALE PLAZA,573,BUANGKOK MRT STATION (NE15),936,101 RIVERVALE WALK
HWI YOH COURT,"1.37103631988089,103.870360910842",ROSYTH SCHOOL,"1.37289067499064,103.875001549174",818,"1.28393326234538,103.851463066212",33.08333333,MYVILLAGE AT SERANGOON GARDEN,1483,KOVAN MRT STATION (NE13),2677,101 SERANGOON NTH AVE 1
101 SIMEI STREET 1 SINGAPORE 520101,"1.34084991073361,103.951433717517",CHANGKAT PRIMARY SCHOOL,"1.34023163951633,103.952080114035",121,"1.28393326234538,103.851463066212",29.88333333,EASTPOINT MALL,355,SIMEI MRT STATION (EW3),434,101 SIMEI ST 1
SAINT LUKE'S ELDERCARE TAMPINES CENTRE,"1.34739870794535,103.945292359327",TAMPINES PRIMARY SCHOOL,"1.34977870805929,103.944004684986",365,"1.28393326234538,103.851463066212",34.15,TAMPINES MALL,683,TAMPINES WEST MRT STATION (DT31),963,101 TAMPINES ST 11
101 TECK WHYE LANE SINGAPORE 680101,"1.37788964623982,103.754239909547",TECK WHYE PRIMARY SCHOOL,"1.38364996834457,103.753291857016",1078,"1.28393326234538,103.851463066212",37.46666667,TECK WHYE SHOPPING CENTRE,446,BUKIT PANJANG MRT STATION (DT1),980,101 TECK WHYE LANE
101 TOWNER ROAD SINGAPORE 322101,"1.31942539040726,103.861087462608",HONG WEN SCHOOL,"1.32175999964553,103.857628468881",595,"1.28393326234538,103.851463066212",11.96666667,APERIA,1350,BOON KENG MRT STATION (NE9),177,101 TOWNER RD
WHAMPOA VIEW,"1.32041710187602,103.853813946402",HONG WEN SCHOOL,"1.32175999964553,103.857628468881",711,"1.28393326234538,103.851463066212",19.98333333,CITY SQUARE MALL,1357,FARRER PARK MRT STATION,1047,101 WHAMPOA DR
101 WOODLANDS STREET 13 SINGAPORE 730101,"1.43598268540185,103.781932747463",SI LING PRIMARY SCHOOL,"1.43240935732525,103.786035065192",889,"1.28393326234538,103.851463066212",46.91666667,MARSILING MALL HAWKER CENTRE,697,WOODLANDS MRT STATION (TE2),906,101 WOODLANDS ST 13
DBS YISHUN AVENUE 5,"1.43053231016112,103.827618665577",JIEMIN PRIMARY SCHOOL,"1.42768847665227,103.830425490093",631,"1.28393326234538,103.851463066212",40.76666667,NORTHPOINT CITY,1010,YISHUN MRT STATION (NS13),953,101 YISHUN AVE 5
TOA PAYOH PALM SPRING,"1.33974126719163,103.847264187382",KHENG CHENG SCHOOL,"1.3373381935639,103.847148501824",271,"1.28393326234538,103.851463066212",17.46666667,HDB HUB,1184,BRADDELL MRT STATION (NS18),320,101A LOR 2 TOA PAYOH
101A PUNGGOL FIELD SINGAPORE 821101,"1.3979461677694,103.905945136259",EDGEFIELD PRIMARY SCHOOL,"1.40009139510996,103.907847599114",467,"1.28393326234538,103.851463066212",35.81666667,RIVERVALE MALL,1122,SENGKANG MRT STATION (NE16),1778,101A PUNGGOL FIELD
TOA PAYOH PALM SPRING,"1.33959884500115,103.847605414427",KHENG CHENG SCHOOL,"1.3373381935639,103.847148501824",241,"1.28393326234538,103.851463066212",18.25,HDB HUB,1238,BRADDELL MRT STATION (NS18),291,101B LOR 2 TOA PAYOH
101B PUNGGOL FIELD SINGAPORE 822101,"1.39784715104396,103.906436071245",EDGEFIELD PRIMARY SCHOOL,"1.40009139510996,103.907847599114",403,"1.28393326234538,103.851463066212",34.85,RIVERVALE MALL,1166,SENGKANG MRT STATION (NE16),1843,101B PUNGGOL FIELD
101C PUNGGOL FIELD SINGAPORE 823101,"1.39809045787162,103.906569305679",EDGEFIELD PRIMARY SCHOOL,"1.40009139510996,103.907847599114",344,"1.28393326234538,103.851463066212",34,RIVERVALE MALL,1215,SENGKANG MRT STATION (NE16),1898,101C PUNGGOL FIELD
101D PUNGGOL FIELD SINGAPORE 824101,"1.39848478483582,103.90614388692",EDGEFIELD PRIMARY SCHOOL,"1.40009139510996,103.907847599114",403,"1.28393326234538,103.851463066212",34.68333333,RIVERVALE MALL,1238,SENGKANG MRT STATION (NE16),1894,101D PUNGGOL FIELD
102 ALJUNIED CRESCENT SINGAPORE 380102,"1.3204390302197,103.882420433245",GEYLANG METHODIST SCHOOL (PRIMARY),"1.31759126757284,103.883845744916",483,"1.28393326234538,103.851463066212",14.08333333,PAYA LEBAR SQUARE,1605,ALJUNIED MRT STATION (EW9),638,102 ALJUNIED CRES
CHILD AT STREET 11 LTD,"1.37065009249377,103.839410348811",ANG MO KIO PRIMARY SCHOOL,"1.36932176584608,103.839630858752",246,"1.28393326234538,103.851463066212",27.48333333,BROADWAY PLAZA,1005,ANG MO KIO MRT STATION (NS16),1344,102 ANG MO KIO AVE 3
PEARL GARDEN,"1.33390654765002,103.937458398204",RED SWASTIKA SCHOOL,"1.33324297847732,103.934332314404",481,"1.28393326234538,103.851463066212",30.71666667,DJITSUN MALL BEDOK,1619,BEDOK RESERVOIR MRT STATION (DT30),909,102 BEDOK NTH AVE 4
EUNOS VISTA,"1.32849187727623,103.90926515578",TELOK KURAU PRIMARY SCHOOL,"1.33104585441349,103.910934011337",635,"1.28393326234538,103.851463066212",32.98333333,SINGAPORE POST CENTRE,3063,KAKI BUKIT MRT STATION (DT28),1039,102 BEDOK RESERVOIR RD
BISHAN VIEW,"1.3451431233477,103.847990805259",GUANGYANG PRIMARY SCHOOL,"1.34569011530238,103.849453239895",788,"1.28393326234538,103.851463066212",28.68333333,JUNCTION 8,861,BRADDELL MRT STATION (NS18),2215,102 BISHAN ST 12
102 BUKIT BATOK WEST AVENUE 6 SINGAPORE 650102,"1.34745833930547,103.747473341114",BUKIT VIEW PRIMARY SCHOOL,"1.34586054788695,103.75366641455",1016,"1.28393326234538,103.851463066212",34.8,WEST MALL,573,BUKIT BATOK MRT STATION (NS2),361,102 BT BATOK WEST AVE 6
BUKIT PURMEI VILLE,"1.27190842334423,103.826671653892",CHIJ (KELLOCK),"1.275022722964,103.828157564896",517,"1.28393326234538,103.851463066212",16.06666667,VIVOCITY,1460,HARBOURFRONT MRT STATION (NE1 / CC29),1338,102 BT PURMEI RD
CRESCENT VIEW,"1.30782464878023,103.800629787177",NEW TOWN PRIMARY SCHOOL,"1.29964188181021,103.80010216304",1184,"1.28393326234538,103.851463066212",24.88333333,HOLLAND VILLAGE SHOPPING MALL,937,COMMONWEALTH MRT STATION (EW20),871,102 C'WEALTH CRES
SUNSET WAY RESIDENCE,"1.32228557225905,103.769201884359",PEI TONG PRIMARY SCHOOL,"1.31619786415976,103.767599818844",1592,"1.28393326234538,103.851463066212",31.16666667,THE CLEMENTI MALL,1874,CLEMENTI MRT STATION (EW23),1800,102 CLEMENTI ST 14
102 GANGSA ROAD SINGAPORE 670102,"1.37910762831305,103.768153816778",ZHENGHUA PRIMARY SCHOOL,"1.37954887512229,103.769313521752",432,"1.28393326234538,103.851463066212",38,BUKIT PANJANG PLAZA,642,BUKIT PANJANG MRT STATION (DT1),1022,102 GANGSA RD
102 HENDERSON CRESCENT SINGAPORE 150102,"1.290366187147,103.82157708445",ALEXANDRA PRIMARY SCHOOL,"1.29133439161334,103.824424680531",534,"1.28393326234538,103.851463066212",14.63333333,TIONG BAHRU PLAZA,986,REDHILL MRT STATION (EW18),780,102 HENDERSON CRES
102 HOUGANG AVENUE 1 SINGAPORE 530102,"1.35496446293882,103.890855054687",XINGHUA PRIMARY SCHOOL,"1.35790893589535,103.890472887906",533,"1.28393326234538,103.851463066212",33.15,HEARTLAND MALL-KOVAN,1049,KOVAN MRT STATION (NE13),1184,102 HOUGANG AVE 1
AH HOOD GARDENS,"1.3278687431847,103.844209602863",CHIJ PRIMARY (TOA PAYOH),"1.33275264711587,103.841847263786",1401,"1.28393326234538,103.851463066212",20.96666667,BALESTIER HILL SHOPPING CENTRE,463,TOA PAYOH MRT STATION (NS19),991,102 JLN DUSUN
RAJAH COURT,"1.32822306444761,103.851519753845",HONG WEN SCHOOL,"1.32175999964553,103.857628468881",1495,"1.28393326234538,103.851463066212",26.73333333,ZHONGSHAN MALL,765,TOA PAYOH MRT STATION (NS19),931,102 JLN RAJAH
JURONG EAST VILLE,"1.33609657873553,103.738219191663",FUHUA PRIMARY SCHOOL,"1.33650394789627,103.736103745748",210,"1.28393326234538,103.851463066212",32.78333333,JCUBE,615,JURONG EAST MRT STATION (EW24 / NS1),748,102 JURONG EAST ST 13
KEMBANGAN GARDENS,"1.32557930714658,103.91065754789",TELOK KURAU PRIMARY SCHOOL,"1.33104585441349,103.910934011337",1189,"1.28393326234538,103.851463066212",24.46666667,SINGAPORE POST CENTRE,2629,KEMBANGAN MRT STATION (EW6),651,102 LENGKONG TIGA
102 PASIR RIS STREET 12 SINGAPORE 510102,"1.36748427336516,103.958041055125",WHITE SANDS PRIMARY SCHOOL,"1.36555714668553,103.960918869319",592,"1.28393326234538,103.851463066212",44.68333333,LOYANG POINT,1087,PASIR RIS MRT STATION (EW1),1455,102 PASIR RIS ST 12
102 POTONG PASIR AVENUE 1 SINGAPORE 350102,"1.3336901273759,103.868810587506",SAINT ANDREW'S JUNIOR SCHOOL,"1.33140255308868,103.865117134385",603,"1.28393326234538,103.851463066212",18.16666667,THE POIZ CENTRE,354,POTONG PASIR MRT STATION (NE10),351,102 POTONG PASIR AVE 1
